{'epoch': 1539264585146, 'value': {x : 0.423, y : -0.349, z : -0.846}}
{'epoch': 1539264585148, 'value': {x : 0.411, y : -0.350, z : -0.868}}
{'epoch': 1539264585150, 'value': {x : 0.427, y : -0.350, z : -0.884}}
{'epoch': 1539264585153, 'value': {x : 0.434, y : -0.336, z : -0.846}}
{'epoch': 1539264585156, 'value': {x : 0.432, y : -0.341, z : -0.843}}
{'epoch': 1539264585157, 'value': {x : 0.444, y : -0.328, z : -0.894}}
{'epoch': 1539264585160, 'value': {x : 0.458, y : -0.337, z : -0.881}}
{'epoch': 1539264585163, 'value': {x : 0.448, y : -0.325, z : -0.848}}
{'epoch': 1539264585166, 'value': {x : 0.454, y : -0.329, z : -0.861}}
{'epoch': 1539264585168, 'value': {x : 0.457, y : -0.316, z : -0.854}}
{'epoch': 1539264585170, 'value': {x : 0.457, y : -0.335, z : -0.809}}
{'epoch': 1539264585173, 'value': {x : 0.441, y : -0.339, z : -0.792}}
{'epoch': 1539264585175, 'value': {x : 0.432, y : -0.337, z : -0.811}}
{'epoch': 1539264585178, 'value': {x : 0.426, y : -0.343, z : -0.807}}
{'epoch': 1539264585181, 'value': {x : 0.420, y : -0.351, z : -0.772}}
{'epoch': 1539264585182, 'value': {x : 0.413, y : -0.331, z : -0.765}}
{'epoch': 1539264585185, 'value': {x : 0.396, y : -0.348, z : -0.759}}
{'epoch': 1539264585188, 'value': {x : 0.386, y : -0.362, z : -0.779}}
{'epoch': 1539264585190, 'value': {x : 0.389, y : -0.351, z : -0.773}}
{'epoch': 1539264585192, 'value': {x : 0.375, y : -0.358, z : -0.760}}
{'epoch': 1539264585195, 'value': {x : 0.359, y : -0.360, z : -0.779}}
{'epoch': 1539264585197, 'value': {x : 0.352, y : -0.365, z : -0.785}}
{'epoch': 1539264585200, 'value': {x : 0.340, y : -0.374, z : -0.780}}
{'epoch': 1539264585203, 'value': {x : 0.333, y : -0.379, z : -0.785}}
{'epoch': 1539264585204, 'value': {x : 0.343, y : -0.366, z : -0.796}}
{'epoch': 1539264585207, 'value': {x : 0.349, y : -0.363, z : -0.776}}
{'epoch': 1539264585210, 'value': {x : 0.353, y : -0.370, z : -0.764}}
{'epoch': 1539264585211, 'value': {x : 0.357, y : -0.370, z : -0.789}}
{'epoch': 1539264585214, 'value': {x : 0.358, y : -0.368, z : -0.804}}
{'epoch': 1539264585217, 'value': {x : 0.364, y : -0.377, z : -0.807}}
{'epoch': 1539264585219, 'value': {x : 0.361, y : -0.380, z : -0.814}}
{'epoch': 1539264585222, 'value': {x : 0.358, y : -0.372, z : -0.824}}
{'epoch': 1539264585225, 'value': {x : 0.362, y : -0.384, z : -0.836}}
{'epoch': 1539264585226, 'value': {x : 0.353, y : -0.399, z : -0.837}}
{'epoch': 1539264585229, 'value': {x : 0.348, y : -0.409, z : -0.863}}
{'epoch': 1539264585232, 'value': {x : 0.379, y : -0.429, z : -0.878}}
{'epoch': 1539264585233, 'value': {x : 0.388, y : -0.427, z : -0.832}}
{'epoch': 1539264585236, 'value': {x : 0.374, y : -0.424, z : -0.836}}
{'epoch': 1539264585239, 'value': {x : 0.358, y : -0.432, z : -0.878}}
{'epoch': 1539264585241, 'value': {x : 0.357, y : -0.430, z : -0.894}}
{'epoch': 1539264585244, 'value': {x : 0.360, y : -0.432, z : -0.867}}
{'epoch': 1539264585247, 'value': {x : 0.369, y : -0.440, z : -0.850}}
{'epoch': 1539264585248, 'value': {x : 0.373, y : -0.441, z : -0.869}}
{'epoch': 1539264585251, 'value': {x : 0.356, y : -0.476, z : -0.912}}
{'epoch': 1539264585254, 'value': {x : 0.352, y : -0.472, z : -0.942}}
{'epoch': 1539264585255, 'value': {x : 0.380, y : -0.448, z : -0.917}}
{'epoch': 1539264585258, 'value': {x : 0.385, y : -0.445, z : -0.862}}
{'epoch': 1539264585261, 'value': {x : 0.380, y : -0.437, z : -0.867}}
{'epoch': 1539264585264, 'value': {x : 0.369, y : -0.439, z : -0.888}}
{'epoch': 1539264585266, 'value': {x : 0.363, y : -0.434, z : -0.884}}
{'epoch': 1539264585269, 'value': {x : 0.356, y : -0.443, z : -0.872}}
{'epoch': 1539264585272, 'value': {x : 0.340, y : -0.464, z : -0.886}}
{'epoch': 1539264585273, 'value': {x : 0.333, y : -0.465, z : -0.917}}
{'epoch': 1539264585276, 'value': {x : 0.340, y : -0.471, z : -0.912}}
{'epoch': 1539264585279, 'value': {x : 0.334, y : -0.474, z : -0.891}}
{'epoch': 1539264585280, 'value': {x : 0.336, y : -0.459, z : -0.892}}
{'epoch': 1539264585283, 'value': {x : 0.334, y : -0.459, z : -0.892}}
{'epoch': 1539264585286, 'value': {x : 0.338, y : -0.451, z : -0.875}}
{'epoch': 1539264585288, 'value': {x : 0.328, y : -0.452, z : -0.858}}
{'epoch': 1539264585291, 'value': {x : 0.333, y : -0.442, z : -0.857}}
{'epoch': 1539264585294, 'value': {x : 0.339, y : -0.426, z : -0.849}}
{'epoch': 1539264585295, 'value': {x : 0.341, y : -0.420, z : -0.830}}
{'epoch': 1539264585298, 'value': {x : 0.330, y : -0.427, z : -0.823}}
{'epoch': 1539264585301, 'value': {x : 0.324, y : -0.426, z : -0.836}}
{'epoch': 1539264585302, 'value': {x : 0.314, y : -0.422, z : -0.825}}
{'epoch': 1539264585305, 'value': {x : 0.307, y : -0.426, z : -0.818}}
{'epoch': 1539264585308, 'value': {x : 0.302, y : -0.432, z : -0.827}}
{'epoch': 1539264585310, 'value': {x : 0.289, y : -0.438, z : -0.818}}
{'epoch': 1539264585313, 'value': {x : 0.280, y : -0.441, z : -0.823}}
{'epoch': 1539264585315, 'value': {x : 0.276, y : -0.440, z : -0.829}}
{'epoch': 1539264585317, 'value': {x : 0.270, y : -0.440, z : -0.822}}
{'epoch': 1539264585320, 'value': {x : 0.269, y : -0.433, z : -0.807}}
{'epoch': 1539264585323, 'value': {x : 0.261, y : -0.430, z : -0.805}}
{'epoch': 1539264585324, 'value': {x : 0.259, y : -0.430, z : -0.805}}
{'epoch': 1539264585327, 'value': {x : 0.255, y : -0.434, z : -0.799}}
{'epoch': 1539264585330, 'value': {x : 0.259, y : -0.433, z : -0.807}}
{'epoch': 1539264585332, 'value': {x : 0.258, y : -0.440, z : -0.816}}
{'epoch': 1539264585335, 'value': {x : 0.257, y : -0.442, z : -0.805}}
{'epoch': 1539264585337, 'value': {x : 0.262, y : -0.437, z : -0.811}}
{'epoch': 1539264585339, 'value': {x : 0.279, y : -0.436, z : -0.845}}
{'epoch': 1539264585342, 'value': {x : 0.278, y : -0.434, z : -0.838}}
{'epoch': 1539264585345, 'value': {x : 0.273, y : -0.435, z : -0.814}}
{'epoch': 1539264585346, 'value': {x : 0.267, y : -0.436, z : -0.789}}
{'epoch': 1539264585349, 'value': {x : 0.263, y : -0.435, z : -0.807}}
{'epoch': 1539264585352, 'value': {x : 0.258, y : -0.439, z : -0.826}}
{'epoch': 1539264585354, 'value': {x : 0.256, y : -0.437, z : -0.833}}
{'epoch': 1539264585357, 'value': {x : 0.258, y : -0.443, z : -0.827}}
{'epoch': 1539264585359, 'value': {x : 0.258, y : -0.458, z : -0.827}}
{'epoch': 1539264585362, 'value': {x : 0.260, y : -0.462, z : -0.849}}
{'epoch': 1539264585364, 'value': {x : 0.263, y : -0.474, z : -0.878}}
{'epoch': 1539264585367, 'value': {x : 0.270, y : -0.477, z : -0.895}}
{'epoch': 1539264585370, 'value': {x : 0.271, y : -0.480, z : -0.884}}
{'epoch': 1539264585371, 'value': {x : 0.267, y : -0.469, z : -0.875}}
{'epoch': 1539264585374, 'value': {x : 0.260, y : -0.463, z : -0.861}}
{'epoch': 1539264585377, 'value': {x : 0.277, y : -0.409, z : -0.779}}
{'epoch': 1539264585378, 'value': {x : 0.343, y : -0.401, z : -0.709}}
{'epoch': 1539264585381, 'value': {x : 0.345, y : -0.493, z : -0.901}}
{'epoch': 1539264585384, 'value': {x : 0.297, y : -0.455, z : -0.995}}
{'epoch': 1539264585386, 'value': {x : 0.281, y : -0.446, z : -0.925}}
{'epoch': 1539264585389, 'value': {x : 0.290, y : -0.451, z : -0.837}}
{'epoch': 1539264585392, 'value': {x : 0.290, y : -0.440, z : -0.791}}
{'epoch': 1539264585393, 'value': {x : 0.288, y : -0.448, z : -0.845}}
